id,rda,units,tagname,nutr_desc,is_anti
736,20,mg,PA4-6mer,Proanthocyanidin 4-6mers,f
737,20,mg,PA7-10mer,Proanthocyanidin 7-10mers,f
738,60,mg,PApolymer,Proanthocyanidin polymers (>10mers),f
731,20,mg,CYAD,Cyanidin,f
740,,mg,PETUNIDIN,Petunidin,f
741,,mg,DELPH,Delphinidin ,f
742,,mg,MALVIDIN,Malvidin,f
743,,mg,PELA,Pelargonidin,f
745,,mg,PEONIDIN,Peonidin,f
749,40,mg,CATE,(+)-Catechin,f
750,40,mg,EPICATEGC,(-)-Epigallocatechin,f
751,40,mg,EPICATEC,(-)-Epicatechin,f
752,40,mg,EPICATECG3,(-)-Epicatechin 3-gallate,f
753,60,mg,EGCG,(-)-Epigallocatechin 3-gallate,f
755,,mg,THEAF,Theaflavin,f
756,,mg,THEAR,Thearubigins,f
758,,mg,ERIOD,Eriodictyol,f
759,80,mg,HESPT,Hesperetin,f
762,60,mg,NARING,Naringenin,f
770,30,mg,APIGEN,Apigenin,f
773,20,mg,LUTEOL,Luteolin,f
785,5,mg,ISORHAM,Isorhamnetin,f
786,5,mg,KAEMF,Kaempferol,f
788,2,mg,MYRIC,Myricetin,f
789,20,mg,QUERCE,Quercetin,f
791,,mg,THEA3DI,"Theaflavin-3,3'-digallate",f
792,,mg,THEA3GP,Theaflavin-3'-gallate,f
793,,mg,THEA3G,Theaflavin-3-gallate,f
794,,mg,GALCATEGC,(+)-Gallocatechin,f
