id,fdgrp_id,data_src_id,long_desc,shrt_desc,comm_name,manufacturer,ref_desc,refuse,sci_name
13811,1300,1,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,RAW",URMIS #1864,,Bone and connective tissue,15,
13812,1300,1,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD",URMIS #1864,,Bone and connective tissue,30,
13813,1300,1,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,RAW",URMIS #1049,,Bone and connective tissue,16,
13814,1300,1,"Beef, chuck, arm pot roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised","BEEF,CHUCK,ARM POT RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD",URMIS #1049,,Bone and connective tissue,26,
13815,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,RAW",Top Blade Steak,,Bone,19,
13816,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, braised","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,ALL GRDS,CKD,BRSD",Top Blade Steak,,Bone,23,
13817,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, raw","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,RAW","URMIS #1879, Top Blade Steak",,Bone,19,
13818,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,CHOIC,CKD,BRSD","URMIS #1879, Top Blade Steak",,Bone,23,
13819,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, raw","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,RAW","URMIS #1064, Top Blade Steak",,Bone,19,
13820,1300,1,"Beef, chuck, blade roast, separable lean and fat, trimmed to 1/8"" fat, select, cooked, braised","BEEF,CHUCK,BLADE RST,LN&FAT,1/8""FAT,SEL,CKD,BRSD","URMIS #1064, Top Blade Steak",,Bone,23,
13821,1300,1,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, all grades, cooked, roasted","BEEF,CHK EYE RST,BNL,AMERICA'S BF RST,LN,0"" FAT,ALL GRD, CKD","URMIS #1095, Beef, Chuck, Chuck Eye Rst, (America's Beef Rst)",,"Connective tissue 6%, seam fat 13%",19,
13822,1300,1,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted","BEEF,CHK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,CHOIC,CKD","URMIS #1095, Beef, Chuck, Chuck Eye Rst, (America's Beef Rst)",,"Connective tissue 6%, seam fat 13%",19,
13823,1300,1,"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted","BEEF,CHUCK EYE RST,BNLESS,AMERICA'S BF RST,LN,0"" FAT,SEL,CKD","URMIS #1095, Beef, Chuck, ChuckEye Rst, (America's Beef Rst)",,"Connective tissue7%, seam fat 13%",20,
13824,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, raw","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,RAW",,,Bone,16,
13825,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, broiled","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,BRLD",,,Bone,21,
13826,1300,1,"Beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, all grades, cooked, roasted","BEEF,RIB,WHL (RIBS 6-12),LN&FAT,1/8""FAT,ALL GRDS,CKD,RSTD",,,Bone,17,
