id,courier,method,container,dimensions,weight_max,cost
1,usps,first-class,envelope,"{15,12,0.75}",0.8125,"{""CA"":5.03,""MX"":8.90,""US"":3.40}"
2,usps,priority,small-box,"{8.625,5.375,1.625}",4,"{""CA"":27.90,""MX"":35.35,""US"":8.30}"
3,usps,priority,medium-box-1,"{11,8.5,5.5}",12,"{""CA"":51.55,""MX"":75.95,""US"":15.05}"
4,usps,priority,medium-box-2,"{13.625,11.875,3.375}",12,"{""CA"":51.55,""MX"":75.95,""US"":15.05}"
5,usps,priority,large-box-1,"{12,12,5.5}",18,"{""CA"":67.05,""MX"":99.10,""US"":21.10}"
6,usps,priority,large-box-2,"{23.6875,11.75,3}",18,"{""CA"":67.05,""MX"":99.10,""US"":21.10}"
