commit,username,author_date,commit_date,message
5fa45ef,gamesguru,2020-06-27 22:24:41,2020-06-27 22:24:41,add capsule option for magnesium threonate
ac66a2d,gamesguru,2020-06-27 20:57:58,2020-06-27 20:57:58,"fix function, review by product filter"
fbb5db6,gamesguru,2020-06-27 20:31:17,2020-06-27 20:31:17,formatting fix
90d10aa,gamesguru,2020-06-27 20:25:21,2020-06-27 20:25:21,add 200mg gotu kola to relax formula
6350cb4,gamesguru,2020-06-27 19:47:06,2020-06-27 19:47:06,get_orders() return more for invoice
0436112,gamesguru,2020-06-27 19:03:28,2020-06-27 19:03:28,make nutr_def a ptable
d25509e,gamesguru,2020-06-27 18:38:18,2020-06-27 18:38:18,add review title
7221143,gamesguru,2020-06-27 18:20:06,2020-06-27 18:20:06,fix ingredients function filtering
0659424,gamesguru,2020-06-27 17:56:05,2020-06-27 17:56:05,"add magtein powder, and customary servings"
9465869,gamesguru,2020-06-27 17:22:45,2020-06-27 17:23:32,"deprecate serving on prod, now on var"
8e5787c,gamesguru,2020-06-27 17:17:40,2020-06-27 17:17:40,proper product_ingredients func
6151b2c,gamesguru,2020-06-27 16:34:14,2020-06-27 16:34:14,preliminary product_ingredients func
113aa22,gamesguru,2020-06-27 16:05:28,2020-06-27 16:05:33,"force add csv files, oops"
f582347,gamesguru,2020-06-27 15:58:42,2020-06-27 15:58:42,enhance variants
ce85349,gamesguru,2020-06-27 14:27:42,2020-06-27 14:28:46,"add capsules, lotion in oz."
0298bc2,gamesguru,2020-06-27 12:12:34,2020-06-27 12:12:34,new cols for variants
3e757ca,gamesguru,2020-06-27 00:05:25,2020-06-27 00:05:25,product_ingredients for Mg salts
4b8153e,gamesguru,2020-06-26 23:59:50,2020-06-26 23:59:50,release the magnesiums
e14f3d9,gamesguru,2020-06-26 23:56:31,2020-06-26 23:56:31,add `serving_grams` col to products
05f0f97,gamesguru,2020-06-26 22:44:01,2020-06-26 22:44:01,update get_product() w/ new cols
0925cbf,gamesguru,2020-06-26 22:35:22,2020-06-26 22:35:22,add product details in csv
ad68a75,gamesguru,2020-06-26 21:45:12,2020-06-26 21:51:22,add product fields to automate UI rendering
a13f87e,gamesguru,2020-06-26 21:32:40,2020-06-26 21:32:40,add calcium citrate
62409bf,gamesguru,2020-06-26 14:38:40,2020-06-26 14:38:40,add mg glycinate+malate
e425f32,gamesguru,2020-06-26 14:38:28,2020-06-26 14:38:28,pg/sql improvements from new usda fork
9b38404,gamesguru,2020-06-25 23:15:28,2020-06-26 00:01:37,update ingredients
3aac5e1,gamesguru,2020-06-25 20:53:11,2020-06-25 20:53:11,add effective_dose to ingredients
cb14652,gamesguru,2020-06-25 20:41:10,2020-06-25 20:41:10,add ingredients
1ee9107,gamesguru,2020-06-25 12:14:31,2020-06-25 12:14:31,add mg glycinate & malate
c227b91,gamesguru,2020-06-25 10:12:31,2020-06-25 10:55:46,ingredient improvements
1f45c24,gamesguru,2020-06-24 21:58:25,2020-06-24 23:05:21,add ingredients + specs
126b021,gamesguru,2020-06-24 20:50:19,2020-06-24 20:50:19,replace missing get_user_details() func
ef9f189,gamesguru,2020-06-23 16:09:09,2020-06-23 16:09:09,unique constraint on pkg names
61ac7f8,gamesguru,2020-06-23 11:49:21,2020-06-23 12:19:59,CREATE TABLE pcategories
872a516,gamesguru,2020-06-18 20:52:20,2020-06-18 20:52:20,add function: get_orders (user_id_in int)
0f46ab6,gamesguru,2020-06-18 12:04:23,2020-06-18 12:21:49,"add avg cost, update shipping weight_maxes"
dbc3ad3,gamesguru,2020-06-17 12:48:15,2020-06-17 12:48:15,update shipping_containers
44814d2,gamesguru,2020-06-17 08:20:41,2020-06-17 08:20:41,tidy
56e19c9,gamesguru,2020-06-17 08:14:31,2020-06-17 08:14:31,add cd cwd to dbup/dbdown
f6d9f17,gamesguru,2020-06-16 17:54:27,2020-06-16 17:54:27,"more itable fixes, id tweaks, export csv"
094f7da,gamesguru,2020-06-16 17:47:27,2020-06-16 17:47:27,"fixup itables, add `id` to 2, remove view table"
f07afdd,gamesguru,2020-06-16 17:29:43,2020-06-16 17:29:43,add truncate_() to pg.py
90151a9,gamesguru,2020-06-16 17:15:54,2020-06-16 17:15:54,tweak pg.py
d93c81a,gamesguru,2020-06-16 14:32:05,2020-06-16 14:34:40,remove old *.sh scripts
c25567d,gamesguru,2020-06-16 12:43:24,2020-06-16 14:31:36,"more pg.py, add set_serial()"
43c75e0,gamesguru,2020-06-16 12:08:13,2020-06-16 12:08:13,integrate python import
be6f621,gamesguru,2020-06-15 22:52:37,2020-06-15 22:52:37,condense get_products() functions
30dbd96,gamesguru,2020-06-15 11:29:41,2020-06-15 11:29:41,fix ownership issue in start-pg.sh
784c07d,gamesguru,2020-06-13 15:00:36,2020-06-13 15:01:05,add csv
e03f117,gamesguru,2020-06-13 13:45:29,2020-06-13 14:08:16,\i tables.sql \i functions.sql out config-db.sh
487384e,gamesguru,2020-06-13 13:37:35,2020-06-13 13:37:35,get functions.sql 9.2 compatible
6559af6,gamesguru,2020-06-13 00:38:58,2020-06-13 00:38:58,json_agg wip
4c04ab5,gamesguru,2020-06-12 20:40:43,2020-06-12 20:41:08,no jsonb
c2fe5c0,gamesguru,2020-06-12 16:29:59,2020-06-12 16:29:59,add \i functions.sql to config-db.sh
f087c5c,gamesguru,2020-06-12 14:43:33,2020-06-12 14:52:09,comment out travis yaml
49dc595,gamesguru,2020-06-12 14:35:47,2020-06-12 14:38:46,more wip
6902483,gamesguru,2020-06-12 12:51:54,2020-06-12 12:51:54,more wip
734c8a3,gamesguru,2020-06-12 12:02:03,2020-06-12 12:11:45,wip
6d9d759,gamesguru,2020-06-12 10:07:28,2020-06-12 10:07:28,messing w/ sql scripts
8844d1b,gamesguru,2020-06-12 09:23:20,2020-06-12 09:23:20,"initial commit, pruning old db repo"
